station_id,location,name,full_name,lat,lng,elevation,status
0115,hawaii,Piiholo,Piʻiholo,20.8415,-156.2948,637,active
0116,hawaii,Keokea,Kēōkea,20.7067,-156.3554,871,active
0118,hawaii,Pulehu,Pūlehu,20.79532,-156.35991,427,active
0119,hawaii,Kula Ag,Kula Agricultural Experiment Station,20.757889,-156.320028,964,active
0121,hawaii,Lipoa,Līpoa,20.7458333,-156.4305556,88,active
0122,hawaii,Kaehu,Kaʻehu,20.909167,-156.489444,6,active
0131,hawaii,Lahaina WTP,Lahaina Water Treatment Plant,20.89072,-156.65493,244,active
0132,hawaii,Olowalu,Olowalu,20.82078,-156.6152,54,active
0133,hawaii,Honolua,Honolua,21.0012,-156.62267,170,active
0134,hawaii,Hanaula,Hanaʻula,20.84100,-156.55450,1215,active
0141,hawaii,Auwahi,Auwahi,20.644222,-156.342056,1177,active
0143,hawaii,Nakula,Nākula,20.674736,-156.233487,1632,active
0144,hawaii,Kahikinui,Kahikinui,20.633945,-156.273889,713,active
0145,hawaii,Upper Kahikinui,Upper Kahikinui,20.644215,-156.284703,1034,active
0151,hawaii,Park HQ,Haleakalā Park Headquarters,20.759806,-156.248167,2114,active
0152,hawaii,Nene Nest,Nēnē Nest,20.738194,-156.245833,2593,active
0153,hawaii,Summit,Haleakalā Summit,20.710361,-156.25675,2984,active
0154,hawaii,Waikamoi,Waikamoi,20.773636,-156.222311,1935,active
0155,hawaii,EMI Base Yard,East Maui Irrigation Company Base Yard,20.890997,-156.212316,210,active
0156,hawaii,West Kuiaha,West Kuiaha Road,20.90433,-156.306715,242,active
0160,hawaii,Kuiki,Kuiki,20.712186,-156.134742,2299,active
0161,hawaii,Pohaku Palaha,Pōhaku Pālaha,20.730574,-156.141316,2460,active
0162,hawaii,Treeline,Treeline,20.734315,-156.123354,2235,planned
0164,hawaii,Big Bog,Big Bog,20.726514,-156.092308,1652,planned
0165,hawaii,Hamoa,Hāmoa,20.719497,-156.002356,106,inactive
0166,hawaii,Kipahulu VC,Kīpahulu Visitors Center,20.661092,-156.044767,29,active
0201,hawaii,Nahuku,Nāhuku,19.415215,-155.238394,1202,active
0202,hawaii,Keaau,Keaʻau,19.6061748,-155.0515231,182,active
0203,hawaii,Olaa,ʻŌlaʻa,19.478399,-155.214969,1043,planned
0204,hawaii,Pahoa,Pāhoa,19.501169,-154.943731,175,active
0211,hawaii,Kanakaleonui,Kanakaleonui,19.845036,-155.362586,2352,active
0212,hawaii,Kulaimano,Kulaʻimano,19.834341,-155.122435,260,active
0213,hawaii,Piihonua,Piʻihonua,19.7064059,-155.1873737,606,active
0214,hawaii,Waipunalei,Waipunalei,19.9090639,-155.332875,1654,active
0215,hawaii,Hakalau,Hakalau,19.786173,-155.314264,nan,planned
0216,hawaii,Punahoa,Punahoa,19.68865,-155.23145,nan,planned
0221,hawaii,Kaluamakani,Kaluamakani,19.9153271,-155.5002897,1880,active
0222,hawaii,Aipalaoa,Aipalaoa,19.8541197,-155.5915919,2039,active
0223,hawaii,Naohuleelua,Nāʻōhuleʻelua,19.664467,-155.705311,nan,planned
0224,hawaii,Puuheewai,Puʻuheʻewai,19.629045,-155.566923,nan,planned
0225,hawaii,Alaekila,Alaekila,20.042368,-155.408793,nan,planned
0231,hawaii,Kaiholena,Kaiholena,19.16877,-155.57035,631,active
0232,hawaii,Kahilipalinui,Kahilipalinui,19.044023,-155.57921,nan,planned
0233,hawaii,Ka Lae,Ka Lae,18.953,-155.689,nan,planned
0234,hawaii,Kahuku,Kahuku,19.052519,-155.69205,nan,planned
0235,hawaii,Manuka,Manukā,19.05934,-155.852,108,active
0236,hawaii,Kauhuku Mauka,Kauhuku Mauka,19.382805,-155.74623,nan,planned
0241,hawaii,Keahuolu,Keahuolū,19.668669,-155.957474,537,active
0242,hawaii,Kaiaulu Puuwaawaa,Kaiāulu Puʻuwaʻawaʻa,19.77241,-155.83118,1161,active
0243,hawaii,Kona Hema,Kona Hema,19.2068247,-155.8109802,1283,active
0244,hawaii,Kealakekua,Kealakekua,19.505859,-155.762429,1840,active
0245,hawaii,Kipuka Nui,Kīpuka Nui,19.5087559,-155.8445347,1176,inactive
0246,hawaii,Kona Ag,Kona Research Station,19.5335322,-155.9263885,446,active
0247,hawaii,Kipahoehoe,Kipahoehoe,19.2312376,-155.8681021,nan,planned
0251,hawaii,Kehena,Kehena Ditch Cabin,20.122834,-155.749329,1158,active
0252,hawaii,Lalamilo,Lālāmilo,20.019528,-155.677085,802,active
0253,hawaii,Puuloa,Puʻuloa,20.0621502,-155.7511354,1026,active
0254,hawaii,Kawaihae,Kawaihae,20.0240444,-155.807983,113,active
0255,hawaii,Waipoo,Waipoʻo,20.099334,-155.696415,1381,active
0256,hawaii,Mealani,Mealani Research Station,20.0394972,-155.6083761,879,active
0257,hawaii,Kapaau,Kapaʻau,20.193492,-155.8062372,nan,planned
0258,hawaii,Iole,ʻIole,20.240499,-155.78104,nan,planned
0259,hawaii,Puuoli,Puʻuoli,19.830955,-155.699863,nan,planned
0260,hawaii,Puanui,Puanui,20.145059,-155.889468,nan,planned
